i,constraint,lower,upper
1,constr_3.1_1_0,152.1999969482422,1620.0
2,constr_3.2_1_0,5.0,1620.0
3,constr_3.3_1_0,0.0,2283.0
4,constr_4.1_1_0,761.0,1620.0
5,constr_4.2_1_0,304.3999938964844,1620.0
6,constr_4.3_1_0,-761.0,1620.0
7,constr_4.4_1_0,-1522.0,1620.0
8,constr_1.1_1_1,1.0,1.0
9,constr_3.1_1_1,3.75,1620.0
10,constr_3.2_1_1,5.0,1620.0
11,constr_3.3_1_1,0.0,45.0
12,constr_4.1_1_1,15.0,1620.0
13,constr_4.2_1_1,7.5,1620.0
14,constr_4.3_1_1,-15.0,1620.0
15,constr_4.4_1_1,-30.0,1620.0
16,constr_5.1_1_1,761.0,1620.0
17,constr_5.2_1_1,731.0,1620.0
18,constr_5.3_1_1,761.0,1620.0
19,constr_5.4_1_1,-761.0,1620.0
20,constr_5.5_1_1,-881.0,1620.0
21,constr_5.6_1_1,-761.0,1620.0
22,constr_6.1_1_1,765.0,1620.0
23,constr_6.2_1_1,760.0,1620.0
24,constr_6.3_1_1,765.0,1620.0
25,constr_6.4_1_1,-765.0,1620.0
26,constr_6.5_1_1,-770.0,1620.0
27,constr_6.6_1_1,-765.0,1620.0
28,constr_1.1_1_2,4.0,4.0
29,constr_3.1_1_2,13.0,1620.0
30,constr_3.2_1_2,5.0,1620.0
31,constr_3.3_1_2,0.0,156.0
32,constr_4.1_1_2,52.0,1620.0
33,constr_4.2_1_2,26.0,1620.0
34,constr_4.3_1_2,-52.0,1620.0
35,constr_4.4_1_2,-104.0,1620.0
36,constr_5.1_1_2,780.0,1620.0
37,constr_5.2_1_2,775.0,1620.0
38,constr_5.3_1_2,780.0,1620.0
39,constr_5.4_1_2,-780.0,1620.0
40,constr_5.5_1_2,-785.0,1620.0
41,constr_5.6_1_2,-780.0,1620.0
42,constr_6.1_1_2,784.0,1620.0
43,constr_6.2_1_2,724.0,1620.0
44,constr_6.3_1_2,784.0,1620.0
45,constr_6.4_1_2,-784.0,1620.0
46,constr_6.5_1_2,-844.0,1620.0
47,constr_6.6_1_2,-784.0,1620.0
48,constr_1.1_1_3,4.0,4.0
49,constr_3.1_1_3,56.79999923706055,1620.0
50,constr_3.2_1_3,5.0,1620.0
51,constr_3.3_1_3,0.0,852.0
52,constr_4.1_1_3,284.0,1620.0
53,constr_4.2_1_3,113.5999984741211,1620.0
54,constr_4.3_1_3,-284.0,1620.0
55,constr_4.4_1_3,-568.0,1620.0
56,constr_5.1_1_3,836.0,1620.0
57,constr_5.2_1_3,776.0,1620.0
58,constr_5.3_1_3,836.0,1620.0
59,constr_5.4_1_3,-836.0,1620.0
60,constr_5.5_1_3,-896.0,1620.0
61,constr_5.6_1_3,-836.0,1620.0
62,constr_6.1_1_3,840.0,1620.0
63,constr_6.2_1_3,720.0,1620.0
64,constr_6.3_1_3,840.0,1620.0
65,constr_6.4_1_3,-840.0,1620.0
66,constr_6.5_1_3,-870.0,1620.0
67,constr_6.6_1_3,-840.0,1620.0
68,constr_1.1_1_4,160.0,160.0
69,constr_3.1_1_4,42.75,1620.0
70,constr_3.2_1_4,5.0,1620.0
71,constr_3.3_1_4,0.0,513.0
72,constr_4.1_1_4,171.0,1620.0
73,constr_4.2_1_4,85.5,1620.0
74,constr_4.3_1_4,-171.0,1620.0
75,constr_4.4_1_4,-342.0,1620.0
76,constr_5.1_1_4,1124.0,1620.0
77,constr_5.2_1_4,1094.0,1620.0
78,constr_5.3_1_4,1124.0,1620.0
79,constr_5.4_1_4,-1124.0,1620.0
80,constr_5.5_1_4,-1244.0,1620.0
81,constr_5.6_1_4,-1124.0,1620.0
82,constr_6.1_1_4,1125.0,1620.0
83,constr_6.2_1_4,1065.0,1620.0
84,constr_6.3_1_4,1125.0,1620.0
85,constr_6.4_1_4,-1125.0,1620.0
86,constr_6.5_1_4,-1185.0,1620.0
87,constr_6.6_1_4,-1125.0,1620.0
88,constr_1.1_1_5,6.0,6.0
89,constr_3.1_1_5,62.60000228881836,1620.0
90,constr_3.2_1_5,5.0,1620.0
91,constr_3.3_1_5,0.0,939.0
92,constr_4.1_1_5,313.0,1620.0
93,constr_4.2_1_5,125.20000457763672,1620.0
94,constr_4.3_1_5,-313.0,1620.0
95,constr_4.4_1_5,-626.0,1620.0
96,constr_5.1_1_5,1296.0,1620.0
97,constr_5.2_1_5,1236.0,1620.0
98,constr_5.3_1_5,1296.0,1620.0
99,constr_5.4_1_5,-1296.0,1620.0
100,constr_5.5_1_5,-1356.0,1620.0
101,constr_5.6_1_5,-1296.0,1620.0
102,constr_6.1_1_5,1307.0,1620.0
103,constr_6.2_1_5,1187.0,1620.0
104,constr_6.3_1_5,1307.0,1620.0
105,constr_6.4_1_5,-1307.0,1620.0
106,constr_6.5_1_5,-1337.0,1620.0
107,constr_6.6_1_5,-1307.0,1620.0
108,LP3_1_0,0.0,0.0
109,LP3_1_1,0.0,0.0
110,LP3_1_2,0.0,0.0
111,LP3_1_3,0.0,0.0
112,LP3_1_4,0.0,0.0
113,LP3_1_5,0.0,0.0
