18-May-2015 22:06:27:972, INFO, LP problem has 280 variables and 310 constraints.
18-May-2015 22:06:28:330, INFO, LP problem has 83 variables and 92 constraints.
18-May-2015 22:06:28:400, INFO, LP problem has 166 variables and 184 constraints.
18-May-2015 22:06:28:520, INFO, LP problem has 45 variables and 50 constraints.
18-May-2015 22:06:28:598, INFO, LP problem has 619 variables and 691 constraints.
18-May-2015 22:06:30:216, INFO, LP problem has 192 variables and 213 constraints.
18-May-2015 22:06:30:315, INFO, LP problem has 64 variables and 71 constraints.
18-May-2015 22:06:30:354, INFO, LP problem has 83 variables and 92 constraints.
18-May-2015 22:06:30:404, INFO, LP problem has 204 variables and 226 constraints.
18-May-2015 22:06:30:522, INFO, LP problem has 211 variables and 234 constraints.
18-May-2015 22:06:30:642, INFO, LP problem has 192 variables and 213 constraints.
18-May-2015 22:06:30:751, INFO, LP problem has 204 variables and 226 constraints.
18-May-2015 22:06:30:962, INFO, LP problem has 268 variables and 297 constraints.
18-May-2015 22:06:31:158, INFO, LP problem has 422 variables and 469 constraints.
18-May-2015 22:06:31:571, INFO, LP problem has 64 variables and 71 constraints.
18-May-2015 22:06:31:606, INFO, LP problem has 327 variables and 366 constraints.
18-May-2015 22:06:31:954, INFO, LP problem has 121 variables and 134 constraints.
18-May-2015 22:06:32:020, INFO, LP problem has 320 variables and 356 constraints.
18-May-2015 22:06:32:387, INFO, LP problem has 178 variables and 197 constraints.
18-May-2015 22:06:32:508, INFO, LP problem has 147 variables and 163 constraints.
18-May-2015 22:06:32:609, INFO, LP problem has 192 variables and 213 constraints.
18-May-2015 22:06:32:742, INFO, LP problem has 109 variables and 121 constraints.
18-May-2015 22:06:32:831, INFO, LP problem has 185 variables and 205 constraints.
18-May-2015 22:06:33:235, INFO, LP problem has 64 variables and 71 constraints.
18-May-2015 22:06:33:267, INFO, LP problem has 83 variables and 92 constraints.
18-May-2015 22:06:33:305, INFO, LP problem has 204 variables and 226 constraints.
18-May-2015 22:06:33:420, INFO, LP problem has 313 variables and 347 constraints.
18-May-2015 22:06:33:691, INFO, LP problem has 275 variables and 305 constraints.
18-May-2015 22:06:33:854, INFO, LP problem has 90 variables and 100 constraints.
18-May-2015 22:06:33:902, INFO, LP problem has 491 variables and 544 constraints.
18-May-2015 22:06:34:500, INFO, LP problem has 147 variables and 163 constraints.
18-May-2015 22:06:34:576, INFO, LP problem has 204 variables and 226 constraints.
18-May-2015 22:06:34:944, INFO, LP problem has 249 variables and 276 constraints.
18-May-2015 22:06:35:101, INFO, LP problem has 396 variables and 439 constraints.
18-May-2015 22:06:35:499, INFO, LP problem has 752 variables and 836 constraints.
18-May-2015 22:06:38:220, INFO, LP problem has 45 variables and 50 constraints.
18-May-2015 22:06:38:252, INFO, LP problem has 282 variables and 314 constraints.
18-May-2015 22:06:38:445, INFO, LP problem has 64 variables and 71 constraints.
18-May-2015 22:06:38:472, INFO, LP problem has 185 variables and 205 constraints.
18-May-2015 22:06:38:561, INFO, LP problem has 301 variables and 334 constraints.
18-May-2015 22:06:38:766, INFO, LP problem has 147 variables and 163 constraints.
18-May-2015 22:06:38:831, INFO, LP problem has 128 variables and 142 constraints.
18-May-2015 22:06:38:894, INFO, LP problem has 211 variables and 234 constraints.
18-May-2015 22:06:39:035, INFO, LP problem has 446 variables and 494 constraints.
18-May-2015 22:06:39:513, INFO, LP problem has 213 variables and 238 constraints.
18-May-2015 22:06:39:626, INFO, LP problem has 109 variables and 121 constraints.
