maz	taz
1	1
2	1
3	1
4	1
5	2
6	2
7	2
8	2
9	3
10	3
11	3
12	3
13	4
14	4
15	4
16	4
17	5
18	5
19	5
20	5
21	6
22	6
23	6
24	6
25	7
26	7
27	7
28	7
29	8
30	8
31	8
32	8
33	9
34	9
35	9
36	9
37	10
38	10
39	10
40	10
41	11
42	11
43	11
44	11
45	12
46	12
47	12
48	12
49	13
50	13
51	13
52	13
53	14
54	14
55	14
56	14
57	15
58	15
59	15
60	15
61	16
62	16
63	16
64	16
65	17
66	17
67	17
68	17
69	18
70	18
71	18
72	18
73	19
74	19
75	19
76	19
77	20
78	20
79	20
80	20
















































































