person_id	person_index	trip_index  	tripstarttime 	origmaz    	destmaz	trip_park_ride_flag	otran_maz	dtran_maz	a_time	e_time	tr_time
     8921376	       64343	           1	   2.9	          71	          17	           1	           0	           0	     0.0	     0.0	  1440.0
     8921376	       64343	           2	 682.8	          17	          71	           2	           4	           4	    18.7	     0.0	     0.0
     6823255	        3888	           1	   5.6	           5	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     6823255	        3888	           2	 283.8	          71	           5	           0	          66	           4	    17.1	    21.1	     0.4
     3764686	       60146	           1	   9.2	          68	          28	           0	          73	          46	    19.1	    44.2	     0.0
     3764686	       60146	           2	 407.2	          28	          68	           0	          46	          73	    44.2	    19.1	     0.0
     7366880	       72282	           1	  12.5	          78	           7	           0	           0	           0	     0.0	     0.0	  1440.0
     7366880	       72282	           2	 152.6	           7	          78	           0	           0	           0	     0.0	     0.0	  1440.0
     7366880	       72282	           6	1060.0	          68	          78	           0	           0	           0	     0.0	     0.0	  1440.0
     6352104	       70910	           1	  13.2	          77	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     3765733	       66915	           1	  14.4	          73	          77	           0	           0	           0	     0.0	     0.0	  1440.0
     3765733	       66915	           2	 174.3	          77	          71	           0	          77	          71	     0.0	     0.0	     0.0
     3765733	       66915	           5	 890.0	          71	          14	           0	          71	           4	     0.0	    15.1	     0.6
     3765733	       66915	           6	 961.3	          14	          73	           0	           0	           0	     0.0	     0.0	  1440.0
     7366063	       60864	           1	  17.0	          68	          33	           1	           0	           0	     0.0	     0.0	  1440.0
     7366063	       60864	           4	 873.2	          33	          68	           2	          34	          34	    17.0	     0.0	     0.0
     5193260	       15747	           1	  20.7	          15	          70	           0	           0	           0	     0.0	     0.0	  1440.0
     5193260	       15747	           2	 698.1	          70	          15	           0	          68	           4	    28.0	    27.9	     0.3
     6639281	       22703	           1	  23.0	          26	          70	           0	           0	           0	     0.0	     0.0	  1440.0
     6639281	       22703	           2	 650.1	          70	          26	           0	          71	           4	    18.0	    36.2	     0.3
     3753657	       37824	           1	  44.5	          45	           3	           0	           0	           0	     0.0	     0.0	  1440.0
     3753657	       37824	           3	 644.4	           4	          45	           0	           0	           0	     0.0	     0.0	  1440.0
     6645876	       61233	           1	  45.1	          69	          71	           1	           0	           0	     0.0	     0.0	  1440.0
     6645876	       61233	           2	 174.3	          71	          69	           2	          71	          71	     0.0	     0.0	     0.0
     7923800	       26909	           1	  65.1	          31	          70	           0	           0	           0	     0.0	     0.0	  1440.0
     7923800	       26909	           2	 823.0	          70	          32	           0	          72	          45	     9.8	    16.5	     0.5
     6928081	       53112	           1	  78.6	          61	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     6554485	        4906	           1	  85.4	           5	          68	           0	           0	           0	     0.0	     0.0	  1440.0
     6554485	        4906	           5	 803.0	          68	           5	           0	          68	           4	     0.0	    21.1	     0.4
      701915	       39249	           1	 109.0	          46	          61	           1	          65	          66	     0.0	    28.7	     0.0
      701915	       39249	           2	 804.8	          61	          46	           2	          66	          65	    28.7	     0.0	     0.0
     1993374	       72201	           1	 120.6	          78	           5	           0	          73	           4	    32.6	    21.1	     1.5
     1993374	       72201	           2	 735.4	           5	          78	           0	           0	           0	     0.0	     0.0	  1440.0
     5982710	       10176	           1	 122.8	          11	          70	           0	           0	           0	     0.0	     0.0	  1440.0
     5982710	       10176	           2	 753.1	          70	          11	           0	          66	          65	    22.4	    47.7	     0.0
     7656892	       55883	           1	 123.3	          64	           2	           0	          71	           4	    27.7	     9.8	     0.3
     2117851	       65526	           1	 128.2	          72	          21	           0	           0	           0	     0.0	     0.0	  1440.0
     2117851	       65526	           7	 762.4	          17	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     7078447	       73766	           1	 128.3	          79	          20	           0	           0	           0	     0.0	     0.0	  1440.0
     7078447	       73766	           2	 638.2	          20	          79	           0	          24	          71	    27.5	    19.6	     0.4
     3764869	       64834	           1	 132.4	          71	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     3764869	       64834	           3	 829.4	          71	          14	           0	          68	           4	    12.8	    15.1	     0.5
     9953934	       63187	           2	 134.9	          77	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     9953934	       63187	           3	 147.5	          71	          45	           0	           0	           0	     0.0	     0.0	  1440.0
     9953934	       63187	           5	 823.5	          71	          71	           0	          71	          71	     0.0	     0.0	     0.0
     7063397	        4931	           1	 137.2	           5	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     7063397	        4931	           4	 316.1	          71	          71	           0	          71	          71	     0.0	     0.0	     0.0
     7063397	        4931	           5	 537.5	          71	           5	           0	          68	           4	    12.8	    21.1	     0.2
     3752363	       19392	           1	 141.9	          21	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     3752363	       19392	           2	 613.5	          71	          21	           0	          71	          24	     0.0	    24.8	     0.1
     6340647	       18676	           1	 144.9	          19	          71	           1	           0	           0	     0.0	     0.0	  1440.0
     6340647	       18676	           4	 810.6	          71	          19	           2	          71	          68	     0.0	     0.0	     0.0
     3753713	       38162	           1	 146.2	          45	          71	           1	           0	           0	     0.0	     0.0	  1440.0
     3753713	       38162	           4	 752.4	          71	          45	           2	          71	          68	     0.0	     0.0	     0.0
     7923125	       17296	           1	 147.4	          17	          21	           0	           0	           0	     0.0	     0.0	  1440.0
     7923933	       30008	           1	 148.1	          36	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     7923933	       30008	           2	 966.5	          71	          36	           0	          68	          36	    12.8	     0.0	     0.3
     8716446	       12638	           1	 150.0	          13	          33	           0	           0	           0	     0.0	     0.0	  1440.0
     8716446	       12638	           5	 960.0	          33	          13	           0	           0	           0	     0.0	     0.0	  1440.0
     3764928	       62824	           1	 151.9	          70	          17	           0	           0	           0	     0.0	     0.0	  1440.0
     3764928	       62824	           2	 803.2	          17	          70	           0	           4	          71	    18.7	    18.0	     0.8
     4068217	       45250	           1	 153.5	          52	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     4068217	       45250	           2	 846.9	          71	           9	           0	          71	           4	     0.0	    39.6	     0.4
      305353	       49704	           1	 154.6	          57	          68	           0	           0	           0	     0.0	     0.0	  1440.0
     4065988	       33933	           1	 156.7	          40	          23	           1	          34	          24	     0.0	    12.8	     0.0
     4065988	       33933	           2	 840.2	          23	          40	           2	          24	          34	    12.8	     0.0	     0.0
     9135130	       20000	           1	 156.7	          21	           5	           1	           4	           4	     0.0	    21.1	     0.0
     9135130	       20000	           2	 909.5	           5	          21	           2	           4	           4	    21.1	     0.0	     0.0
     8396842	       55836	           1	 157.4	          64	          13	           0	          71	           4	    27.7	    19.2	     0.2
     8396842	       55836	           3	 886.0	           3	          64	           0	           0	           0	     0.0	     0.0	  1440.0
     3068634	       71549	           1	 158.4	          77	          70	           0	           0	           0	     0.0	     0.0	  1440.0
     3068634	       71549	           2	 576.0	          70	          21	           0	          66	          65	    22.4	    34.0	     0.0
     3068634	       71549	           3	 599.0	          21	          77	           0	          65	          68	    34.0	    18.9	     0.0
     4208227	       72642	           1	 159.5	          78	           5	           0	          68	           4	    26.7	    21.1	     0.2
     6645708	       58202	           1	 159.7	          66	          71	           0	           0	           0	     0.0	     0.0	  1440.0
     6645708	       58202	           2	 265.7	          71	          71	           0	          71	          71	     0.0	     0.0	     0.0
     6645708	       58202	           3	 270.1	          71	          66	           0	          71	          66	     0.0	     0.0	     0.1
     6639635	       33715	           1	 159.8	          40	          64	           0	          48	          66	    54.2	    30.1	     0.5
     6639635	       33715	           3	 898.4	          70	          40	           0	           0	           0	     0.0	     0.0	  1440.0
     6340660	       17980	           1	 160.2	          18	           4	           0	           0	           0	     0.0	     0.0	  1440.0
     6340660	       17980	           2	 787.6	           4	          75	           0	           0	           0	     0.0	     0.0	  1440.0
     6340660	       17980	           3	 816.9	          75	          18	           0	          67	          65	    25.4	    37.2	     0.0
     4065459	        9851	           1	 160.3	          10	          17	           1	           0	           0	     0.0	     0.0	  1440.0
     4065459	        9851	           4	 773.6	          17	          10	           2	           4	           4	    18.7	     0.0	     0.0
     7358818	         599	           1	 160.4	           1	          33	           0	           0	           0	     0.0	     0.0	  1440.0
     7358818	         599	           4	1183.6	          33	           3	           0	          34	           4	    17.0	    14.5	     0.4
     2112553	       16836	           1	 160.6	          17	          68	           0	           0	           0	     0.0	     0.0	  1440.0
