person_id	person_index	trip_index  	tripstarttime 	origmaz    	destmaz	trip_park_ride_flag	otran_maz	dtran_maz	a_time	e_time	tr_time
     8921376   64343  1    2.90    71    17   1         4         0   5.90000   0.00000   0.00000
     8921376   64343  2  682.80    17    71   2         0         4   0.00000   0.00000   0.00000
     6823255    3888  1    5.60     5    71   0         0         0   0.00000   0.00000   0.00000
     6823255    3888  2  283.80    71     5   0         0         0   0.00000   0.00000   0.00000
     3764686   60146  1    9.20    68    28   0         0         0   0.00000   0.00000   0.00000
     3764686   60146  2  407.20    28    68   0         0         0   0.00000   0.00000   0.00000
     7366880   72282  1   12.50    78     7   0         0         0   0.00000   0.00000   0.00000
     7366880   72282  2  152.60     7    78   0         0         0   0.00000   0.00000   0.00000
     7366880   72282  6 1060.00    68    78   0         0         0   0.00000   0.00000   0.00000
     6352104   70910  1   13.20    77    71   0         0         0   0.00000   0.00000   0.00000
     3765733   66915  1   14.40    73    77   0         0         0   0.00000   0.00000   0.00000
     3765733   66915  2  174.30    77    71   0         0         0   0.00000   0.00000   0.00000
     3765733   66915  5  890.00    71    14   0         0         0   0.00000   0.00000   0.00000
     3765733   66915  6  961.30    14    73   0         0         0   0.00000   0.00000   0.00000
     7366063   60864  1   17.00    68    33   1        34         0   5.10000   0.00000   0.00000
     7366063   60864  4  873.20    33    68   2         0        34   0.00000   0.00000   0.00000
     5193260   15747  1   20.70    15    70   0         0         0   0.00000   0.00000   0.00000
     5193260   15747  2  698.10    70    15   0         0         0   0.00000   0.00000   0.00000
     6639281   22703  1   23.00    26    70   0         0         0   0.00000   0.00000   0.00000
     6639281   22703  2  650.10    70    26   0         0         0   0.00000   0.00000   0.00000
     3753657   37824  1   44.50    45     3   0         0         0   0.00000   0.00000   0.00000
     3753657   37824  3  644.40     4    45   0         0         0   0.00000   0.00000   0.00000
     6645876   61233  1   45.10    69    71   1        77         0   0.50000   0.00000   0.00000
     6645876   61233  2  174.30    71    69   2         0        77   0.00000   0.00000   0.00000
     7923800   26909  1   65.10    31    70   0         0         0   0.00000   0.00000   0.00000
     7923800   26909  2  823.00    70    32   0         0         0   0.00000   0.00000   0.00000
     6928081   53112  1   78.60    61    71   0         0         0   0.00000   0.00000   0.00000
     6554485    4906  1   85.40     5    68   0         0         0   0.00000   0.00000   0.00000
     6554485    4906  5  803.00    68     5   0         0         0   0.00000   0.00000   0.00000
      701915   39249  1  109.00    46    61   1        65         0   4.80000   0.00000   0.00000
      701915   39249  2  804.80    61    46   2         0        65   0.00000   0.00000   0.00000
     1993374   72201  1  120.60    78     5   0         0         0   0.00000   0.00000   0.00000
     1993374   72201  2  735.40     5    78   0         0         0   0.00000   0.00000   0.00000
     5982710   10176  1  122.80    11    70   0         0         0   0.00000   0.00000   0.00000
     5982710   10176  2  753.10    70    11   0         0         0   0.00000   0.00000   0.00000
     7656892   55883  1  123.30    64     2   0         0         0   0.00000   0.00000   0.00000
     2117851   65526  1  128.20    72    21   0         0         0   0.00000   0.00000   0.00000
     2117851   65526  7  762.40    17    71   0         0         0   0.00000   0.00000   0.00000
     7078447   73766  1  128.30    79    20   0         0         0   0.00000   0.00000   0.00000
     7078447   73766  2  638.20    20    79   0         0         0   0.00000   0.00000   0.00000
