maz	taz
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	57
59	58
60	59
61	60
62	61
63	62
64	63
65	64
66	65
67	66
68	67
69	68
70	69
71	70
72	71
73	71
74	72
75	73
76	74
77	75
78	76
79	77
80	77
81	78
82	78
83	78
84	78
85	79
86	79
87	79
88	79
89	80
90	80
91	80
92	80
93	80
94	80
95	81
96	81
97	81
98	81
99	82
100	82
101	82
102	82
103	83
104	83
105	83
106	83
107	84
108	84
109	84
110	84
111	85
112	85
113	85
114	85
115	86
116	86
117	86
118	86
119	87
120	87
121	87
122	87
123	88
124	88
125	88
126	88
127	89
128	89
129	90
130	90
131	90
132	90
133	91
134	91
135	91
136	92
137	92
138	92
139	92
140	92
141	92
142	92
143	92
144	92
145	92
146	92
147	92
148	94
149	94
150	93
151	93
152	93
153	93
154	93
155	93
156	96
157	96
158	96
159	97
160	97
161	97
162	548
163	95
164	98
165	99
166	99
167	100
168	100
169	100
170	101
171	101
172	101
173	102
174	102
175	103
176	103
177	103
178	104
179	104
180	105
181	105
182	105
183	105
184	106
185	106
186	107
187	107
188	107
189	107
190	108
191	108
192	108
193	108
194	109
195	109
196	110
197	110
198	110
199	110
200	111
201	111
202	112
203	112
204	112
205	112
206	113
207	113
208	114
209	114
210	115
211	115
212	115
213	116
214	116
215	117
216	117
217	117
218	117
219	118
220	118
221	118
222	118
223	119
224	119
225	119
226	119
227	120
228	120
229	120
230	120
231	121
232	121
233	121
234	121
235	122
236	122
237	122
238	122
239	123
240	123
241	123
242	123
243	124
244	124
245	124
246	124
247	125
248	125
249	125
250	125
251	126
252	126
253	126
254	126
255	127
256	127
257	127
258	127
259	128
260	128
261	128
262	128
263	129
264	129
265	129
266	129
267	130
268	130
269	130
270	130
271	131
272	131
273	131
274	131
275	132
276	132
277	133
278	133
279	133
280	133
281	134
282	134
283	134
284	134
285	135
286	135
287	135
288	135
289	136
290	136
291	136
292	136
293	137
294	137
295	137
296	137
297	138
298	138
299	138
300	138
301	139
302	139
303	139
304	139
305	140
306	140
307	140
308	140
309	141
310	141
311	141
312	141
313	142
314	142
315	142
316	142
317	143
318	143
319	143
320	143
321	558
322	144
323	144
324	144
325	144
326	145
327	145
328	145
329	145
330	146
331	146
332	146
333	146
334	147
335	147
336	147
337	147
338	148
339	148
340	148
341	148
342	149
343	149
344	149
345	149
346	150
347	150
348	150
349	150
350	151
351	151
352	151
353	151
354	152
355	152
356	152
357	152
358	153
359	153
360	153
361	153
362	154
363	154
364	154
365	154
366	155
367	155
368	155
369	155
370	156
371	156
372	156
373	156
374	157
375	157
376	157
377	157
378	158
379	158
380	158
381	158
382	159
383	159
384	159
385	159
386	159
387	159
388	160
389	160
390	160
391	160
392	161
393	161
394	161
395	161
396	162
397	162
398	162
399	162
400	163
401	163
402	163
403	163
404	164
405	164
406	164
407	164
408	165
409	165
410	165
411	165
412	166
413	166
414	166
415	166
416	167
417	167
418	167
419	167
420	168
421	168
422	168
423	168
424	169
425	169
426	170
427	170
428	170
429	170
430	171
431	171
432	171
433	171
434	172
435	172
436	172
437	172
438	173
439	173
440	173
441	173
442	174
443	174
444	175
445	175
446	175
447	175
448	176
449	176
450	176
451	176
452	177
453	177
454	177
455	177
456	178
457	178
458	178
459	178
460	179
461	179
462	180
463	180
464	180
465	180
466	181
467	181
468	181
469	181
470	182
471	182
472	182
473	182
474	183
475	183
476	183
477	183
478	184
479	184
480	184
481	184
482	185
483	185
484	185
485	185
486	186
487	186
488	186
489	186
490	187
491	187
492	187
493	187
494	188
495	188
496	188
497	188
498	189
499	189
500	189
501	189
502	190
503	190
504	190
505	190
506	191
507	191
508	191
509	191
510	192
511	192
512	192
513	192
514	193
515	193
516	193
517	193
518	194
519	194
520	194
521	194
522	195
523	195
524	195
525	195
526	196
527	196
528	196
529	196
530	196
531	196
532	651
533	197
534	197
535	197
536	197
537	198
538	198
539	198
540	198
541	199
542	199
543	199
544	199
545	200
546	200
547	201
548	201
549	202
550	202
551	202
552	203
553	203
554	203
555	203
556	204
557	204
558	204
559	204
560	205
561	205
562	205
563	205
564	206
