hh_id,tour_id,tour_category,tour_purpose,tour_composition,tour_participants,orig_maz,orig_walk_segment,dest_maz,dest_walk_segment,depart_period,arrive_period,tour_mode,num_ob_stops,num_ib_stops,driver,util_1,util_2,util_3,util_4,util_5,util_6,util_7,util_8,util_9,util_10,util_11,util_12,util_13,util_14,util_15,util_16,util_17,util_18,util_19,util_20,util_21,util_22,util_23,util_24,util_25,util_26,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20,prob_21,prob_22,prob_23,prob_24,prob_25,prob_26
72551,0,JOINT_NON_MANDATORY,shop,1,1 2,1,0,17,0,4,6,3,1,1,1,-1998.436890,-999.000000,-3.057988,-999.000000,-5.617791,-999.000000,-5.187528,-7.638773,-999.000000,-8.017859,-10.420081,-8.889480,-10.524600,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.838230,0.000000,0.048768,0.000000,0.099589,0.006537,0.000000,0.005634,0.000406,0.000354,0.000482,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972433,0,JOINT_NON_MANDATORY,eatingout,1,1 2,1,0,27,0,26,31,5,1,1,2,-1999.003906,-999.000000,-1.778569,-999.000000,-2.836227,-999.000000,-999.000000,-6.545999,-999.000000,-8.848817,-12.481762,-9.560132,-5.924800,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.749149,0.000000,0.231311,0.000000,0.000000,0.006543,0.000000,0.000595,0.000011,0.000213,0.012178,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1265669,0,JOINT_NON_MANDATORY,shop,1,1 2,1,0,1,0,28,33,3,1,1,2,-1998.603027,-999.000000,-2.188994,-999.000000,-4.618880,-999.000000,-4.432328,-7.213382,-999.000000,-999.000000,-999.000000,-999.000000,-8.892800,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.847739,0.000000,0.056980,0.000000,0.090134,0.004101,0.000000,0.000000,0.000000,0.000000,0.001046,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1265669,1,JOINT_NON_MANDATORY,eatingout,1,1 2,1,0,2,0,26,27,3,1,1,1,-1998.780762,-999.000000,-1.574771,-999.000000,-2.641020,-999.000000,-3.270211,-5.765519,-999.000000,-999.000000,-999.000000,-999.000000,-6.684400,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.661776,0.000000,0.202392,0.000000,0.123979,0.007749,0.000000,0.000000,0.000000,0.000000,0.004104,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839442,0,JOINT_NON_MANDATORY,shop,1,1 2,1,0,20,0,3,5,3,1,1,1,-1998.424438,-999.000000,-3.033759,-999.000000,-5.812428,-999.000000,-6.100379,-8.034073,-999.000000,-999.000000,-999.000000,-999.000000,-9.433600,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.909951,0.000000,0.041512,0.000000,0.042106,0.004912,0.000000,0.000000,0.000000,0.000000,0.001519,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839434,0,JOINT_NON_MANDATORY,maintenance,1,1 2,1,0,14,0,36,40,7,1,1,-1,-1998.361694,-999.000000,-2.774110,-999.000000,-5.415856,-999.000000,-4.949378,-7.685345,-999.000000,-999.000000,-999.000000,-999.000000,-7.785700,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.848261,0.000000,0.045056,0.000000,0.096392,0.004611,0.000000,0.000000,0.000000,0.000000,0.005679,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2908380,0,JOINT_NON_MANDATORY,shop,1,1 2,1,0,2,0,29,30,3,1,1,1,-1998.042969,-999.000000,-2.727351,-999.000000,-5.315170,-999.000000,-5.098216,-7.806982,-999.000000,-999.000000,-999.000000,-999.000000,-10.352500,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.865832,0.000000,0.048830,0.000000,0.080923,0.003990,0.000000,0.000000,0.000000,0.000000,0.000425,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630206,0,JOINT_NON_MANDATORY,shop,3,1 2 3,1,0,13,0,32,34,5,1,1,1,-1998.287720,-999.000000,-997.736023,-999.000000,-2.860541,-999.000000,-4.407546,-6.962445,-999.000000,-999.000000,-999.000000,-999.000000,-10.211100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.816525,0.000000,0.172840,0.010111,0.000000,0.000000,0.000000,0.000000,0.000524,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839477,0,JOINT_NON_MANDATORY,maintenance,1,1 2,1,0,7,0,23,24,3,1,1,1,-1998.175171,-999.000000,-2.631100,-999.000000,-5.292147,-999.000000,-4.856677,-7.644366,-999.000000,-999.000000,-999.000000,-999.000000,-7.785700,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.854155,0.000000,0.044407,0.000000,0.092313,0.004169,0.000000,0.000000,0.000000,0.000000,0.004956,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3025316,0,JOINT_NON_MANDATORY,maintenance,1,1 2,1,0,17,0,29,33,3,1,1,1,-1998.139648,-999.000000,-2.660502,-999.000000,-5.436088,-999.000000,-5.885028,-8.525773,-999.000000,-6.446494,-9.525548,-6.626663,-9.767700,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.896574,0.000000,0.041042,0.000000,0.035636,0.001895,0.000000,0.014996,0.000655,0.008464,0.000738,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1041991,0,JOINT_NON_MANDATORY,shop,1,1 2,1,0,1,0,28,32,3,1,1,1,-1997.988525,-999.000000,-2.733640,-999.000000,-5.658317,-999.000000,-5.844728,-8.625782,-999.000000,-999.000000,-999.000000,-999.000000,-11.415600,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.921228,0.000000,0.035733,0.000000,0.041017,0.001866,0.000000,0.000000,0.000000,0.000000,0.000157,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3044580,0,JOINT_NON_MANDATORY,shop,1,1 2,1,0,2,0,31,33,7,1,1,-1,-1998.075317,-999.000000,-2.750220,-999.000000,-5.446854,-999.000000,-5.098216,-7.806982,-999.000000,-999.000000,-999.000000,-999.000000,-10.211100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.868938,0.000000,0.043424,0.000000,0.083041,0.004094,0.000000,0.000000,0.000000,0.000000,0.000502,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
