,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,dest_expected_arrival_time,value_of_time,start_time,Activity_Time,hh_id,hh_vehicle_id,shared_ride_flag,pickup_trip_flag,transit_utility,car_utility,orig_traveler,dest_traveler,intrasuperzone_flag,seg_index,veh_seg_index
0,1,16,1,10,8600957,1.0,6.7,6.7,0.1164,1.0,24.3,2744264.0,0.0,0,1,150.0,5.7,8600957,8600957,0,0,2744264.0_0_0.0
2,16,5,2,11,8600957,31.000000000000004,35.7,35.7,0.1164,31.0,32.3,2744264.0,0.0,0,1,150.0,4.7,8600957,8600957,0,0,2744264.0_0_0.0
4,5,1,3,12,8600957,68.00000000000001,69.80000000000001,69.8,0.1164,68.0,238.2,2744264.0,0.0,0,1,150.0,1.8,8600957,8600957,0,0,2744264.0_0_0.0
6,1,4,4,13,8600957,308.0,308.7,308.7,0.1164,308.0,423.3,2744264.0,0.0,0,1,150.0,0.7,8600957,8600957,0,0,2744264.0_0_0.0
7,4,1,13,5,0,308.7,732.0,732.0,0.01,732.0,0.0,2744264.0,0.0,0,0,0.0,0.7,8600957,8600958,0,1,2744264.0_1_0.0
8,1,14,5,14,8600958,732.0,738.5,738.5,0.1164,732.0,131.5,2744264.0,0.0,0,1,150.0,6.5,8600958,8600958,0,2,2744264.0_2_0.0
10,14,1,6,15,8600958,864.2,872.2,878.0,0.1164,870.0,0.0,2744264.0,0.0,0,1,150.0,8.0,8600958,8600958,0,2,2744264.0_2_0.0
11,1,4,15,7,0,872.2,873.0,873.0,0.01,873.0,0.0,2744264.0,0.0,0,0,0.0,0.8,8600958,8600957,0,3,2744264.0_3_0.0
12,4,1,7,16,8600957,873.0,874.0,874.0,0.1164,873.0,40.0,2744264.0,0.0,0,1,150.0,1.0,8600957,8600957,0,4,2744264.0_4_0.0
13,1,1,16,8,0,874.0,914.0,914.0,0.01,914.0,0.0,2744264.0,0.0,0,0,0.0,0.4,8600957,8600958,0,5,2744264.0_5_0.0
14,1,10,8,17,8600958,914.0,920.7,920.7,0.1164,914.0,77.29999999999995,2744264.0,0.0,0,1,150.0,6.7,8600958,8600958,0,6,2744264.0_6_0.0
16,10,1,9,18,8600958,998.0,1003.6,1003.6,0.1164,998.0,436.4,2744264.0,0.0,0,1,150.0,5.6,8600958,8600958,0,6,2744264.0_6_0.0
0,2,14,1,7,9845407,2.0,7.2,7.2,0.1123,2.0,553.8,3416215.0,0.0,0,1,150.0,5.2,9845407,9845407,0,0,3416215.0_0_0.0
2,14,1,2,8,9845407,561.0,569.7,569.7,0.1123,561.0,62.299999999999955,3416215.0,0.0,0,1,150.0,8.7,9845407,9845407,0,0,3416215.0_0_0.0
4,1,14,3,9,9845407,632.0,638.8,638.8,0.1123,632.0,9.200000000000045,3416215.0,0.0,0,1,150.0,6.8,9845407,9845407,0,0,3416215.0_0_0.0
6,14,2,4,10,9845407,648.0,652.6,652.6,0.1123,648.0,149.39999999999998,3416215.0,0.0,0,1,150.0,4.6,9845407,9845407,0,0,3416215.0_0_0.0
7,2,2,10,5,0,652.6,802.0,802.0,0.01,802.0,0.0,3416215.0,0.0,0,0,0.0,0.4,9845407,9845406,0,1,3416215.0_1_0.0
8,2,9,5,11,9845406,802.0,806.0,806.0,0.1123,802.0,43.0,3416215.0,0.0,0,1,150.0,4.0,9845406,9845406,0,2,3416215.0_2_0.0
10,9,2,6,12,9845406,849.0,853.3,853.3,0.1123,849.0,586.7,3416215.0,0.0,0,1,150.0,4.3,9845406,9845406,0,2,3416215.0_2_0.0
0,20,20,1,19,6351861,2.0,5.3,5.3,0.0792,2.0,1434.7,1845629.0,0.0,0,1,150.0,3.3,6351861,6351861,0,0,1845629.0_0_0.0
0,20,12,2,20,6351861,272.0,276.8,276.8,0.0792,272.0,11.199999999999989,1845629.0,0.0,0,1,150.0,4.8,6351861,6351861,0,1,1845629.0_1_0.0
2,12,20,3,21,6351861,288.0,292.3,292.3,0.0792,288.0,10.699999999999989,1845629.0,0.0,0,1,150.0,4.3,6351861,6351861,0,1,1845629.0_1_0.0
4,20,14,4,22,6351861,303.0,309.2,309.2,0.0792,303.0,294.8,1845629.0,0.0,0,1,150.0,6.2,6351861,6351861,0,1,1845629.0_1_0.0
5,14,20,22,5,0,309.2,604.0,604.0,0.01,604.0,0.0,1845629.0,0.0,0,0,0.0,5.4,6351861,6351860,0,2,1845629.0_2_0.0
6,20,12,5,23,6351860,604.0,608.7,608.7,0.0792,604.0,70.29999999999995,1845629.0,0.0,0,1,150.0,4.7,6351860,6351860,0,3,1845629.0_3_0.0
8,12,20,6,24,6351860,679.0,683.8,683.8,0.0792,679.0,47.200000000000045,1845629.0,0.0,0,1,150.0,4.8,6351860,6351860,0,3,1845629.0_3_0.0
10,20,18,7,25,6351860,731.0000000000001,735.9000000000001,735.9,0.0792,731.0,41.10000000000002,1845629.0,0.0,0,1,150.0,4.9,6351860,6351860,0,3,1845629.0_3_0.0
11,18,14,25,8,0,735.9000000000001,777.0,777.0,0.01,777.0,0.0,1845629.0,0.0,0,0,0.0,10.7,6351860,6351861,0,4,1845629.0_4_0.0
12,14,18,8,26,6351861,777.0,781.6,781.6,0.0792,777.0,46.39999999999998,1845629.0,0.0,0,1,150.0,4.6,6351861,6351861,0,5,1845629.0_5_0.0
13,18,18,26,9,0,781.6,827.9999999999999,828.0,0.01,828.0,0.0,1845629.0,0.0,0,0,0.0,3.2,6351861,6351860,0,6,1845629.0_6_0.0
14,18,20,9,27,6351860,827.9999999999999,828.5999999999999,828.6,0.0792,828.0,14.399999999999977,1845629.0,0.0,0,1,150.0,0.6,6351860,6351860,0,7,1845629.0_7_0.0
16,20,18,10,28,6351860,843.0,847.8,847.8,0.0792,843.0,15.200000000000045,1845629.0,0.0,0,1,150.0,4.8,6351860,6351860,0,7,1845629.0_7_0.0
18,18,17,11,29,6351860,863.0000000000001,864.5000000000001,864.5,0.0792,863.0,113.5,1845629.0,0.0,0,1,150.0,1.5,6351860,6351860,0,7,1845629.0_7_0.0
19,17,18,29,12,0,864.5000000000001,978.0,978.0,0.01,978.0,0.0,1845629.0,0.0,0,0,0.0,2.3,6351860,6351861,0,8,1845629.0_8_0.0
20,18,10,12,30,6351861,978.0,986.7,986.7,0.0792,978.0,5.2999999999999545,1845629.0,0.0,0,1,150.0,8.7,6351861,6351861,0,9,1845629.0_9_0.0
22,10,14,13,31,6351861,992.0,1002.5,1002.5,0.0792,992.0,74.5,1845629.0,0.0,0,1,150.0,10.5,6351861,6351861,0,9,1845629.0_9_0.0
24,14,20,14,32,6351861,1077.0,1083.0,1083.0,0.0792,1077.0,37.0,1845629.0,0.0,0,1,150.0,6.0,6351861,6351861,0,9,1845629.0_9_0.0
26,20,12,15,33,6351861,1120.0,1124.6,1124.6,0.0792,1120.0,5.400000000000091,1845629.0,0.0,0,1,150.0,4.6,6351861,6351861,0,9,1845629.0_9_0.0
28,12,6,16,34,6351861,1124.6,1131.1,1136.5,0.0792,1130.0,5.5,1845629.0,0.0,0,1,150.0,6.5,6351861,6351861,0,9,1845629.0_9_0.0
30,6,20,18,36,6351861,1132.1999999999998,1139.1,1157.9,0.0792,1151.0,282.0999999999999,1845629.0,0.0,0,1,150.0,6.9,6351861,6351861,0,9,1845629.0_9_0.0
31,20,17,36,17,0,1139.1,1142.8,1142.0,0.01,1440.0,0.0,1845629.0,0.0,0,0,0.0,3.7,6351861,6351860,0,10,1845629.0_10_0.0
32,17,20,17,35,6351860,1142.8,1146.3999999999999,1145.6,0.0792,1142.0,5.400000000000091,1845629.0,0.0,0,1,150.0,3.6,6351860,6351860,0,11,1845629.0_11_0.0
0,2,2,1,7,8390809,3.0,3.4,3.4,0.2053,3.0,80.6,2566260.0,0.0,0,1,150.0,0.4,8390809,8390809,0,0,2566260.0_0_0.0
2,2,10,2,8,8390809,84.0,89.9,89.9,0.2053,84.0,397.1,2566260.0,0.0,0,1,150.0,5.9,8390809,8390809,0,1,2566260.0_1_0.0
