,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,dest_expected_arrival_time,value_of_time,start_time,Activity_Time,hh_id,hh_vehicle_id,shared_ride_flag,pickup_trip_flag,transit_utility,car_utility,orig_traveler,dest_traveler,intrasuperzone_flag,seg_index,veh_seg_index
0,2,14,1,7,9845407,2.0,7.2,7.2,0.1123,2.0,553.8,3416215.0,0.0,0,1,150.0,5.2,9845407,9845407,0,0,3416215.0_0_0.0
2,14,1,2,8,9845407,561.0,569.7,569.7,0.1123,561.0,62.299999999999955,3416215.0,0.0,0,1,150.0,8.7,9845407,9845407,0,0,3416215.0_0_0.0
4,1,14,3,9,9845407,632.0,638.8,638.8,0.1123,632.0,9.200000000000045,3416215.0,0.0,0,1,150.0,6.8,9845407,9845407,0,0,3416215.0_0_0.0
6,14,2,4,10,9845407,648.0,652.6,652.6,0.1123,648.0,149.39999999999998,3416215.0,0.0,0,1,150.0,4.6,9845407,9845407,0,0,3416215.0_0_0.0
7,2,2,10,5,0,652.6,802.0,802.0,0.01,802.0,0.0,3416215.0,0.0,0,0,0.0,0.4,9845407,9845406,0,1,3416215.0_1_0.0
8,2,9,5,11,9845406,802.0,806.0,806.0,0.1123,802.0,43.0,3416215.0,0.0,0,1,150.0,4.0,9845406,9845406,0,2,3416215.0_2_0.0
10,9,2,6,12,9845406,849.0,853.3,853.3,0.1123,849.0,586.7,3416215.0,0.0,0,1,150.0,4.3,9845406,9845406,0,2,3416215.0_2_0.0
0,1,1,1,15,6637917,4.0,4.3,4.3,0.0493,4.0,124.7,1972436.0,0.0,0,1,150.0,0.3,6637917,6637917,0,0,1972436.0_0_0.0
1,1,1,15,2,0,4.3,129.0,129.0,0.01,129.0,0.0,1972436.0,0.0,0,0,0.0,0.3,6637917,6637919,0,1,1972436.0_1_0.0
2,1,14,2,16,6637919,129.0,134.2,134.2,0.0329,129.0,24.80000000000001,1972436.0,0.0,0,1,150.0,5.2,6637919,6637919,0,2,1972436.0_2_0.0
4,14,1,3,17,6637919,159.0,165.4,165.4,0.0329,159.0,195.6,1972436.0,0.0,0,1,150.0,6.4,6637919,6637919,0,2,1972436.0_2_0.0
5,1,1,17,4,0,165.4,361.0,361.0,0.01,361.0,0.0,1972436.0,0.0,0,0,0.0,0.3,6637919,6637917,0,3,1972436.0_3_0.0
6,1,2,4,18,6637917,361.0,362.1,362.1,0.0493,361.0,31.899999999999977,1972436.0,0.0,0,1,150.0,1.1,6637917,6637917,0,4,1972436.0_4_0.0
7,2,1,18,5,0,362.1,394.0,394.0,0.01,394.0,0.0,1972436.0,0.0,0,0,0.0,1.9,6637917,6637918,0,5,1972436.0_5_0.0
