,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,dest_expected_arrival_time,value_of_time,start_time,Activity_Time,hh_id,hh_vehicle_id,shared_ride_flag,pickup_trip_flag,transit_utility,car_utility,orig_traveler,dest_traveler,intrasuperzone_flag,seg_index,veh_seg_index
0,14,14,1.0,8.0,1909002.0,1.0,4.7,4.7,0.033,1.0,262.3,555395.0,0.0,0.0,1.0,662.8694667606311,3.7,1909002.0,1909002.0,0,0,555395.0_0_0.0
1,14,14,8.0,2.0,0.0,4.7,267.0,267.0,0.01,267.0,0.0,555395.0,0.0,0.0,0.0,0.0,3.7,1909002.0,1909000.0,0,1,555395.0_1_0.0
2,14,5,2.0,9.0,1909000.0,267.0,271.6,271.6,0.033,267.0,24.399999999999977,555395.0,0.0,0.0,1.0,661.1449950090565,4.6,1909000.0,1909000.0,0,2,555395.0_2_0.0
3,5,14,9.0,3.0,0.0,271.6,296.0,296.0,0.01,296.0,0.0,555395.0,0.0,0.0,0.0,0.0,3.7,1909000.0,1909002.0,0,3,555395.0_3_0.0
4,14,5,3.0,10.0,1909002.0,296.0,300.6,300.6,0.033,296.0,398.4,555395.0,0.0,0.0,1.0,663.0694069294789,4.6,1909002.0,1909002.0,0,4,555395.0_4_0.0
6,5,7,4.0,11.0,1909002.0,699.0,701.9,701.9,0.033,699.0,10.100000000000023,555395.0,0.0,0.0,1.0,630.1119630477334,2.9,1909002.0,1909002.0,0,4,555395.0_4_0.0
8,7,5,5.0,12.0,1909002.0,712.0,715.2,715.2,0.033,712.0,201.79999999999995,555395.0,0.0,0.0,1.0,729.115409127182,3.2,1909002.0,1909002.0,0,4,555395.0_4_0.0
9,5,5,12.0,6.0,0.0,715.2,917.0,917.0,0.01,917.0,0.0,555395.0,0.0,0.0,0.0,0.0,0.4,1909002.0,1909000.0,0,5,555395.0_5_0.0
10,5,14,6.0,13.0,1909000.0,917.0,921.5,921.5,0.033,917.0,17.5,555395.0,0.0,0.0,1.0,380.93845025991294,4.5,1909000.0,1909000.0,0,6,555395.0_6_0.0
11,14,5,13.0,7.0,0.0,921.5,939.0,939.0,0.01,939.0,0.0,555395.0,0.0,0.0,0.0,0.0,4.2,1909000.0,1909002.0,0,7,555395.0_7_0.0
