,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,dest_expected_arrival_time,value_of_time,start_time,Activity_Time,hh_id,hh_vehicle_id,shared_ride_flag,pickup_trip_flag,transit_utility,car_utility,orig_traveler,dest_traveler,intrasuperzone_flag,seg_index,veh_seg_index
0,1,16,1,10,8600957,1.0,6.7,6.7,0.1164,1.0,24.3,2744264.0,0.0,0,1,57.0,[ 5.7  7.   7.2  7.8  5.8],8600957,8600957,0,0,2744264.0_0_0.0
2,16,5,2,11,8600957,31.0,35.7,35.7,0.1164,31.0,32.3,2744264.0,0.0,0,1,47.0,[ 4.7  7.8  7.4  5.   4.5],8600957,8600957,0,0,2744264.0_0_0.0
4,5,1,3,12,8600957,68.0,69.8,69.8,0.1164,68.0,238.2,2744264.0,0.0,0,1,18.0,[ 1.8  3.   2.2  3.7  1.9],8600957,8600957,0,0,2744264.0_0_0.0
6,1,4,4,13,8600957,308.0,308.8,308.8,0.1164,308.0,423.2,2744264.0,0.0,0,1,8.0,[ 0.7  0.8  0.8  1.1  0.7],8600957,8600957,0,0,2744264.0_0_0.0
7,4,1,13,5,0,308.8,732.0,732.0,0.01,732.0,0.0,2744264.0,0.0,0,0,0.0,[ 0.7  0.8  1.8  0.9  1. ],8600957,8600958,0,1,2744264.0_1_0.0
8,1,14,5,14,8600958,732.0,740.8,740.8,0.1164,732.0,129.20000000000005,2744264.0,0.0,0,1,88.0,[ 5.3  6.6  8.8  8.8  5.4],8600958,8600958,0,2,2744264.0_2_0.0
10,14,4,6,7,8600958,862.8000000000001,873.0000000000001,873.0,0.1164,870.0,0.0,2744264.0,0.0,1,1,112.0,[  6.    9.   12.4  10.2   6.3],8600958,8600957,0,2,2744264.0_2_0.0
11,4,1,7,16,8600957,873.0000000000001,874.0999999999999,874.1,0.1164,873.0,39.89999999999998,2744264.0,0.0,0,1,11.0,[ 0.7  0.8  1.8  1.1  0.7],8600957,8600957,0,3,2744264.0_3_0.0
12,1,1,16,15,8600958,874.0999999999999,879.6,881.2,0.1164,914.0,0.0,2744264.0,0.0,0,0,0.0,[ 0.3  0.4  0.4  0.4  0.4],8600957,8600958,0,4,2744264.0_4_0.0
14,1,10,8,17,8600958,914.0,921.1,921.1,0.1164,914.0,76.89999999999998,2744264.0,0.0,0,1,71.0,[ 6.1  7.7  8.2  7.1  6.1],8600958,8600958,0,5,2744264.0_5_0.0
16,10,1,9,18,8600958,998.0000000000002,1002.8000000000002,1002.8,0.1164,998.0,437.20000000000005,2744264.0,0.0,0,1,48.0,[ 4.4  6.4  8.   5.5  4.8],8600958,8600958,0,5,2744264.0_5_0.0
0,2,14,1,7,9845407,2.0,7.2,7.2,0.1123,2.0,553.8,3416215.0,0.0,0,1,52.0,[ 5.2  6.2  5.1  8.1  4.6],9845407,9845407,0,0,3416215.0_0_0.0
2,14,1,2,8,9845407,561.0,568.3,568.3,0.1123,561.0,63.700000000000045,3416215.0,0.0,0,1,73.0,[  6.4   9.    7.3  11.2   6.8],9845407,9845407,0,0,3416215.0_0_0.0
4,1,14,3,9,9845407,632.0,639.1,639.1,0.1123,632.0,8.899999999999977,3416215.0,0.0,0,1,71.0,[ 5.2  6.4  7.1  8.8  5.4],9845407,9845407,0,0,3416215.0_0_0.0
6,14,2,4,10,9845407,648.0,654.4,654.4,0.1123,648.0,147.60000000000002,3416215.0,0.0,0,1,64.0,[  4.7   7.1   6.4  12.9  10. ],9845407,9845407,0,0,3416215.0_0_0.0
7,2,2,10,5,0,654.4,802.0,802.0,0.01,802.0,0.0,3416215.0,0.0,0,0,0.0,[ 0.4  0.4  0.4  1.6  0.4],9845407,9845406,0,1,3416215.0_1_0.0
8,2,9,5,11,9845406,802.0,806.5,806.5,0.1123,802.0,42.5,3416215.0,0.0,0,1,45.0,[ 3.3  4.3  4.7  4.5  3.4],9845406,9845406,0,2,3416215.0_2_0.0
10,9,2,6,12,9845406,849.0,853.2,853.2,0.1123,849.0,586.8,3416215.0,0.0,0,1,42.0,[ 3.3  5.2  5.7  4.2  3.4],9845406,9845406,0,2,3416215.0_2_0.0
0,20,20,1,19,6351861,2.0,5.3,5.3,0.0792,2.0,266.7,1845629.0,0.0,0,1,33.0,[ 3.3  1.1  1.1  1.3  1. ],6351861,6351861,0,0,1845629.0_0_0.0
2,20,12,2,20,6351861,272.0,276.6,276.6,0.0792,272.0,11.399999999999977,1845629.0,0.0,0,1,46.0,[ 4.9  4.6  2.9  2.6  2.9],6351861,6351861,0,1,1845629.0_1_0.0
4,12,20,3,21,6351861,288.0,292.4,292.4,0.0792,288.0,10.600000000000023,1845629.0,0.0,0,1,44.0,[ 7.1  4.4  4.6  5.   4. ],6351861,6351861,0,1,1845629.0_1_0.0
6,20,14,4,22,6351861,303.0,308.7,308.7,0.0792,303.0,295.3,1845629.0,0.0,0,1,57.0,[ 6.7  5.7  1.4  2.4  2.4],6351861,6351861,0,1,1845629.0_1_0.0
7,14,20,22,5,0,308.7,603.9999729274207,604.0,0.01,604.0,0.0,1845629.0,0.0,0,0,0.0,[ 4.7  6.3  7.3  6.8  5.5],6351861,6351860,0,2,1845629.0_2_0.0
8,20,12,5,23,6351860,603.9999729274207,606.9999729274207,607.0,0.0792,604.0,72.0,1845629.0,0.0,0,1,30.0,[ 4.9  4.6  3.   2.6  2.9],6351860,6351860,0,3,1845629.0_3_0.0
