,0,1,2,3,4,5,6,7,8
Total_early_time,-120.98,-95.98,-168.83,-120.98,-68.18,-81.35,-90.98,-5.0,-98.18
cav_use_mode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
drivingcost_per_mile,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
num_cav,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
num_cav_trips,99.0,102.0,103.0,99.0,99.0,99.0,93.0,97.0,96.0
num_convention car trips,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
num_delayed_trips,4.0,4.0,5.0,4.0,2.0,7.0,2.0,4.0,7.0
num_early_trips,12.0,14.0,14.0,12.0,6.0,11.0,8.0,2.0,10.0
num_occupied_trips,63.0,68.0,72.0,63.0,66.0,72.0,63.0,67.0,69.0
num_pickup_trips,63.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0
num_shared_trips,0.0,4.0,9.0,0.0,3.0,9.0,0.0,3.0,5.0
num_unoccupied_trips,36.0,34.0,31.0,36.0,33.0,27.0,30.0,30.0,27.0
reward_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_ride_factor,1.0,1.25,1.5,1.0,1.25,1.5,1.0,1.25,1.5
time_window_flag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_AV_driving_distance,344.748,341.012,328.48,323.697,315.72900000000004,301.0969999999999,303.00899999999996,304.08,295.57300000000004
total_AV_driving_time,6.1333333333333275,5.928333333333327,5.543333333333329,5.548333333333329,5.31833333333333,4.924999999999999,5.1933333333333325,5.058333333333333,4.916666666666668
total_AV_unoccupied_driving_distance,118.43800000000002,112.52600000000001,100.328,97.387,92.46400000000003,72.94500000000002,76.699,79.50500000000001,72.36900000000003
total_AV_unoccupied_driving_time,2.0116666666666676,1.9450000000000007,1.6766666666666672,1.426666666666667,1.4333333333333336,1.058333333333333,1.0716666666666663,1.1633333333333333,1.0949999999999998
total_convention_vehicle_driving_distance,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685
total_convention_vehicle_driving_time,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667
total_delayed_time,23.02,26.545,20.42,23.02,11.82,83.95,11.82,85.0,30.02
total_reward,2473.0,2473.0,2473.0,2473.0,2473.0,2473.0,2473.0,2479.0,2479.0
total_schedule_penalty,12.338000000000097,9.692500000000074,14.63300000000011,3.6140000000005426,4.722499999999953,8.32650000000007,1.3320000000000096,4.3605000000000995,6.636499999999942
total_travel_cost,480.79868999999974,466.78468999999984,439.1029399999999,439.0496899999998,426.71068999999983,402.6739399999999,417.44368999999983,409.5851899999999,400.6579399999998
