,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Total_early_time,-53.6,0.0,-53.6,0.0,-81.85,0.0,-53.6,-0.0,-53.6,-0.0,-81.85,-0.0,-5.8,-0.0,-5.8,-0.0,-34.05,-0.0
cav_use_mode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
drivingcost_per_mile,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
num_cav,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
num_cav_trips,55.0,49.0,57.0,49.0,60.0,49.0,53.0,53.0,55.0,52.0,58.0,52.0,53.0,50.0,51.0,52.0,57.0,52.0
num_convention car trips,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
num_delayed_trips,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_early_trips,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0
num_occupied_trips,38.0,35.0,39.0,35.0,44.0,35.0,38.0,37.0,39.0,37.0,44.0,37.0,38.0,37.0,39.0,37.0,44.0,37.0
num_pickup_trips,38.0,35.0,38.0,35.0,38.0,35.0,38.0,37.0,38.0,37.0,38.0,37.0,38.0,37.0,38.0,37.0,38.0,37.0
num_shared_trips,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0
num_unoccupied_trips,17.0,14.0,18.0,14.0,16.0,14.0,15.0,16.0,16.0,15.0,14.0,15.0,15.0,13.0,12.0,15.0,13.0,15.0
reward_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_ride_factor,1.0,1.0,1.25,1.25,1.5,1.5,1.0,1.0,1.25,1.25,1.5,1.5,1.0,1.0,1.25,1.25,1.5,1.5
time_window_flag,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
total_AV_driving_distance,203.91100000000003,187.59700000000004,203.95300000000003,187.59700000000004,194.40000000000006,187.59700000000004,183.81300000000005,189.372,182.62400000000002,186.562,181.69300000000004,186.562,180.47500000000002,174.42400000000004,168.04600000000002,180.044,176.65500000000003,180.044
total_AV_driving_time,3.786666666666667,3.558333333333333,3.741666666666667,3.558333333333333,3.398333333333334,3.558333333333333,3.3000000000000003,3.473333333333334,3.175000000000001,3.433333333333333,3.098333333333334,3.433333333333333,3.2066666666666674,3.1566666666666667,2.921666666666667,3.2366666666666672,2.978333333333334,3.2366666666666672
total_AV_unoccupied_driving_distance,59.226,51.052,59.127,51.052,49.365,51.052,39.128,46.06699999999999,41.93800000000001,43.257,36.658,43.257,35.79,31.118999999999996,27.36,36.739,31.619999999999994,36.739
total_AV_unoccupied_driving_time,1.0699999999999998,0.955,1.0483333333333331,0.955,0.85,0.955,0.5833333333333334,0.765,0.6233333333333333,0.7249999999999999,0.55,0.7249999999999999,0.48999999999999994,0.44833333333333325,0.36999999999999994,0.5283333333333332,0.42999999999999994,0.5283333333333332
total_convention_vehicle_driving_distance,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685
total_convention_vehicle_driving_time,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667
total_delayed_time,6.4,0.0,6.4,0.0,6.4,0.0,6.4,0.0,6.4,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_reward,1630.0,1562.0,1630.0,1562.0,1630.0,1562.0,1630.0,1625.0,1630.0,1625.0,1630.0,1625.0,1630.0,1625.0,1630.0,1625.0,1630.0,1625.0
total_schedule_penalty,1.3980000000001764,0.0,1.9272500000000086,0.0,4.971000000000055,0.0,1.2280000000000122,0.0,2.361700000000035,0.0,4.971000000000031,0.0,0.6860000000000037,0.0,1.8197000000000154,0.0,4.424499999999982,0.0
total_travel_cost,286.97254000000004,267.03754000000004,285.64754000000005,267.03754000000004,253.57954000000007,267.03754000000004,256.68254,257.42729,247.74204000000003,257.42729,235.67854000000005,257.42729,246.11654000000004,242.68929000000003,237.17604000000003,242.68929000000003,226.33454000000006,242.68929000000003
