,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,dest_expected_arrival_time,value_of_time,start_time,Activity_Time,hh_id,hh_vehicle_id,shared_ride_flag,pickup_trip_flag,transit_utility,car_utility,car_time,orig_traveler,dest_traveler
0,6,6,1,32,9169665,23.0,23.8,23.8,0.1342,23.0,136.2,3132925.0,0.0,0,1,8.0,0.43235999999999997,0.8,9169665,9169665
2,6,1,2,33,9169665,160.0,163.39999999999998,163.4,0.1342,160.0,13.599999999999994,3132925.0,0.0,0,1,34.0,1.61103,3.4,9169665,9169665
4,1,6,3,34,9169665,176.99999999999997,180.5,180.5,0.1342,177.0,19.5,3132925.0,0.0,0,1,35.0,1.37945,3.5,9169665,9169665
6,6,9,4,35,9169665,200.0,203.2,203.2,0.1342,200.0,16.80000000000001,3132925.0,0.0,0,1,32.0,1.45919,3.2,9169665,9169665
8,9,6,7,5,9169665,224.9000000000001,228.70000000000005,220.0,0.1342,243.0,0.0,3132925.0,0.0,1,1,38.0,1.61471,3.8,9169665,9169668
9,6,6,5,38,9169668,228.70000000000005,229.79999999999995,246.8,0.1342,220.0,52.19999999999999,3132925.0,0.0,0,1,32.0,0.47262,1.1,9169668,9169665
10,6,9,38,36,9169668,229.79999999999995,233.0,223.2,0.1342,299.0,9.800000000000011,3132925.0,0.0,0,0,0.0,1.06175,3.2,9169665,9169668
12,9,6,6,37,9169668,233.0,236.8,236.8,0.1342,233.0,6.199999999999989,3132925.0,0.0,0,1,38.0,1.61471,3.8,9169668,9169668
14,6,1,8,39,9169668,299.0,303.3,303.3,0.1342,299.0,4.699999999999989,3132925.0,0.0,0,1,43.0,1.89181,4.3,9169668,9169668
15,1,6,39,9,0,303.3,308.0,308.0,0.01,308.0,0.0,3132925.0,0.0,0,0,0.0,0.9437500000000001,3.4,9169668,9169666
16,6,17,9,40,9169666,308.0,312.1,312.1,0.1342,308.0,5.899999999999977,3132925.0,0.0,0,1,41.0,1.78497,4.1,9169666,9169666
18,17,6,10,23,9169666,318.0,324.09999999999997,850.0,0.1342,318.0,0.0,3132925.0,0.0,1,1,114.0,1.1241800000000002,2.9,9169666,9169665
19,6,5,23,54,9169665,324.09999999999997,325.4,852.5,0.1342,850.0,18.5,3132925.0,0.0,0,1,25.0,0.6592100000000001,1.3,9169665,9169665
20,5,7,54,41,9169666,325.4,329.4,329.4,0.1342,871.0,116.60000000000002,3132925.0,0.0,0,0,0.0,1.075,4.0,9169665,9169666
