,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,dest_expected_arrival_time,value_of_time,start_time,Activity_Time,hh_id,seg_index,intrasuperzone_flag,veh_seg_index
0,18,16,1,65,7933295,129.0,131.5999999999999,131.6,0.3725,129.0,17.400000000000006,2287301.0,0,0,2287301_0
2,16,18,2,66,7933295,149.0,153.4,153.4,0.3725,149.0,9.599999999999994,2287301.0,0,0,2287301_0
4,18,5,3,67,7933296,163.0,167.4,167.4,0.3725,163.0,87.6,2287301.0,1,0,2287301_1
5,5,18,67,4,0,167.4,255.0,255.0,0.01,255.0,0.0,2287301.0,2,0,2287301_2
6,18,18,4,68,7933298,255.0,256.9,256.9,0.3725,255.0,36.10000000000002,2287301.0,3,0,2287301_3
8,18,17,5,69,7933299,293.0,297.0000000000001,297.0,0.3725,293.0,13.0,2287301.0,4,0,2287301_4
10,17,18,6,70,7933299,310.0,312.0,312.0,0.3725,310.0,23.0,2287301.0,4,0,2287301_4
12,18,18,7,71,7933297,335.0,337.5,337.5,0.3725,335.0,1.5,2287301.0,5,0,2287301_5
13,18,18,71,11,0,337.5,347.0999999999967,363.0,0.01,339.0,0.0,2287301.0,6,0,2287301_6
14,18,18,11,8,7933300,347.0999999999967,349.5999999999967,339.0,0.3725,363.0,0.0,2287301.0,7,0,2287301_7
15,18,18,8,10,7933299,349.5999999999967,353.99999999999994,354.0,0.3725,339.0,0.0,2287301.0,8,0,2287301_8
16,18,19,10,74,7933302,353.99999999999994,359.0999999999999,359.1,0.2483,354.0,3.8999999999999773,2287301.0,9,0,2287301_9
17,19,10,74,75,7933299,359.0999999999999,373.0999999999999,376.1,0.3725,363.0,3.8999999999999773,2287301.0,10,0,2287301_10
19,10,7,12,72,7933300,373.0999999999999,374.0,351.2,0.3725,380.0,0.8000000000000114,2287301.0,11,0,2287301_11
21,7,18,9,73,7933299,374.0,379.9000000000001,357.9,0.3725,352.0,0.0,2287301.0,12,0,2287301_12
22,18,18,73,76,7933300,379.9000000000001,387.0,387.0,0.3725,354.0,36.0,2287301.0,13,0,2287301_13
24,18,18,13,14,7933299,441.49999999999994,443.99999999999994,444.0,0.3725,423.0,0.0,2287301.0,14,0,2287301_14
25,18,9,14,78,7933304,443.99999999999994,445.7,445.7,0.2483,444.0,5.300000000000011,2287301.0,15,0,2287301_15
27,9,8,15,79,7933304,448.20000000000005,450.29999999999995,453.1,0.2483,451.0,11.899999999999977,2287301.0,15,0,2287301_15
28,8,1,79,77,7933299,450.29999999999995,453.29999999999995,428.9,0.3725,465.0,15.100000000000023,2287301.0,16,0,2287301_16
29,1,1,77,18,0,453.29999999999995,459.5000000000001,495.0,0.01,444.0,0.0,2287301.0,17,0,2287301_17
30,1,8,18,16,7933299,459.5000000000001,462.70000000000016,465.0,0.3725,495.0,0.0,2287301.0,18,0,2287301_18
31,8,18,16,80,7933304,462.70000000000016,466.0000000000001,468.3,0.2483,465.0,2.6999999999999886,2287301.0,19,0,2287301_19
33,18,18,17,82,7933300,468.5000000000001,471.0000000000001,501.5,0.3725,471.0,6.5,2287301.0,20,0,2287301_20
34,18,16,82,81,7933300,471.0000000000001,473.6,473.6,0.3725,508.0,21.399999999999977,2287301.0,21,0,2287301_21
35,16,18,81,20,0,473.6,505.5,513.0,0.01,495.0,0.0,2287301.0,22,0,2287301_22
36,18,18,20,19,7933304,505.5,508.0,508.0,0.2483,513.0,0.0,2287301.0,23,0,2287301_23
37,18,20,19,83,7933299,508.0,508.5,508.5,0.3725,508.0,4.5,2287301.0,24,0,2287301_24
38,20,16,83,84,7933304,508.5,510.7,515.6,0.2483,513.0,12.399999999999977,2287301.0,25,0,2287301_25
39,16,20,84,21,0,510.7,528.0,528.0,0.01,528.0,0.0,2287301.0,26,0,2287301_26
40,20,19,21,85,7933299,528.0,529.9000000000001,529.9,0.3725,528.0,16.100000000000023,2287301.0,27,0,2287301_27
42,19,18,22,86,7933299,540.8000000000002,542.4000000000001,547.6,0.3725,546.0,0.39999999999997726,2287301.0,27,0,2287301_27
43,18,16,86,24,0,542.4000000000001,545.0,555.0,0.01,548.0,0.0,2287301.0,28,0,2287301_28
44,16,18,24,23,7933300,545.0,548.0,548.0,0.3725,555.0,0.0,2287301.0,29,0,2287301_29
45,18,20,23,87,7933298,548.0,548.5,548.5,0.3725,548.0,6.5,2287301.0,30,0,2287301_30
46,20,16,87,88,7933300,548.5,554.4000000000001,560.5,0.3725,555.0,0.0,2287301.0,31,0,2287301_31
47,16,5,88,25,0,554.4000000000001,559.0,559.0,0.01,559.0,0.0,2287301.0,32,0,2287301_32
48,5,4,25,89,7933296,559.0,559.5999999999999,559.6,0.3725,559.0,8.399999999999977,2287301.0,33,0,2287301_33
49,4,4,89,28,0,559.5999999999999,562.3999999999999,575.0,0.01,568.0,0.0,2287301.0,34,0,2287301_34
50,4,5,28,92,7933296,562.3999999999999,565.3,577.9,0.3725,575.0,64.10000000000002,2287301.0,35,0,2287301_35
51,5,20,92,26,0,565.3,570.5999999999999,568.0,0.01,642.0,0.0,2287301.0,36,0,2287301_36
52,20,16,26,27,7933298,570.5999999999999,571.5999999999999,573.0,0.3725,568.0,0.0,2287301.0,37,0,2287301_37
53,16,18,27,90,7933300,571.5999999999999,574.5999999999999,572.0,0.3725,573.0,1.0,2287301.0,38,0,2287301_38
54,18,16,90,91,7933300,574.5999999999999,578.5,578.5,0.3725,573.0,0.0,2287301.0,38,0,2287301_38
55,16,18,91,29,0,578.5,642.0,642.0,0.01,575.0,0.0,2287301.0,39,0,2287301_39
56,18,9,29,93,7933299,642.0,643.5999999999999,643.6,0.3725,642.0,3.3999999999999773,2287301.0,40,0,2287301_40
57,9,18,93,30,0,643.5999999999999,671.9000000000001,647.0,0.01,647.0,0.0,2287301.0,41,0,2287301_41
58,18,9,30,31,7933295,671.9000000000001,673.5,651.0,0.3725,647.0,0.0,2287301.0,42,0,2287301_42
59,9,18,31,95,7933299,673.5,675.5,653.0,0.3725,651.0,30.0,2287301.0,43,0,2287301_43
61,18,5,32,96,7933299,682.9999999999999,687.3999999999999,687.4,0.3725,683.0,6.600000000000023,2287301.0,43,0,2287301_43
62,5,14,96,94,7933295,687.3999999999999,694.3000000000001,658.2,0.3725,694.0,0.0,2287301.0,44,0,2287301_44
63,14,14,94,34,0,694.3000000000001,698.2000000000002,698.0,0.01,651.0,0.0,2287301.0,45,0,2287301_45
64,14,19,34,36,7933295,698.2000000000002,699.6000000000003,726.0,0.3725,698.0,0.0,2287301.0,46,0,2287301_46
65,19,18,36,100,7933302,699.6000000000003,701.2000000000002,727.6,0.2483,726.0,41.39999999999998,2287301.0,47,0,2287301_47
66,18,18,100,98,7933295,701.2000000000002,703.6000000000003,702.8,0.3725,769.0,18.200000000000045,2287301.0,48,0,2287301_48
67,18,16,98,33,0,703.6000000000003,715.0,694.0,0.01,721.0,0.0,2287301.0,49,0,2287301_49
68,16,18,33,35,7933304,715.0,718.5999999999999,721.0,0.2483,694.0,0.0,2287301.0,50,0,2287301_50
69,18,18,35,97,7933301,718.5999999999999,721.0,697.0,0.3725,721.0,1.0,2287301.0,51,0,2287301_51
70,18,14,97,99,7933301,721.0,732.2,732.2,0.3725,698.0,0.0,2287301.0,52,0,2287301_52
71,14,18,99,37,0,732.2,769.0,769.0,0.01,726.0,0.0,2287301.0,53,0,2287301_53
72,18,15,37,101,7933304,769.0,771.2,771.2,0.2483,769.0,13.799999999999955,2287301.0,54,0,2287301_54
73,15,18,101,38,0,771.2,785.0,785.0,0.01,785.0,0.0,2287301.0,55,0,2287301_55
74,18,16,38,102,7933295,785.0,787.6,787.6,0.3725,785.0,7.399999999999977,2287301.0,56,0,2287301_56
76,16,18,39,103,7933295,795.0,798.0,798.0,0.3725,795.0,15.0,2287301.0,56,0,2287301_56
78,18,18,40,104,7933298,812.9999999999999,815.4,815.4,0.3725,813.0,53.60000000000002,2287301.0,57,0,2287301_57
80,18,15,41,42,7933302,880.5000000000001,887.0000000000001,887.0,0.2483,869.0,0.0,2287301.0,58,0,2287301_58
81,15,18,42,106,7933304,887.0000000000001,891.5000000000001,891.5,0.2483,887.0,27.5,2287301.0,59,0,2287301_59
82,18,14,106,105,7933302,891.5000000000001,902.5000000000001,880.0,0.2483,919.0,7.0,2287301.0,60,0,2287301_60
83,14,14,105,43,0,902.5000000000001,910.8999999999999,919.0,0.01,887.0,0.0,2287301.0,61,0,2287301_61
84,14,18,43,107,7933302,910.8999999999999,915.8,923.9,0.2483,919.0,0.10000000000002274,2287301.0,62,0,2287301_62
85,18,5,107,45,0,915.8,920.0999999999999,936.0,0.01,924.0,0.0,2287301.0,63,0,2287301_63
86,5,16,45,44,7933296,920.0999999999999,924.0,924.0,0.3725,936.0,0.0,2287301.0,64,0,2287301_64
87,16,18,44,108,7933300,924.0,926.9999999999999,927.0,0.3725,924.0,9.0,2287301.0,65,0,2287301_65
88,18,18,108,109,7933296,926.9999999999999,929.900000000003,940.9,0.3725,936.0,10.100000000000023,2287301.0,66,0,2287301_66
89,18,18,109,47,0,929.900000000003,948.5999999999999,951.0,0.01,951.0,0.0,2287301.0,67,0,2287301_67
90,18,18,47,46,7933300,948.5999999999999,951.0,951.0,0.3725,951.0,0.0,2287301.0,68,0,2287301_68
91,18,18,46,111,7933303,951.0,953.4000000000001,953.4,0.2483,951.0,35.60000000000002,2287301.0,69,0,2287301_69
92,18,18,111,110,7933303,953.4000000000001,955.8000000000002,953.4,0.2483,989.0,0.0,2287301.0,70,0,2287301_70
93,18,18,110,48,0,955.8000000000002,989.0,989.0,0.01,951.0,0.0,2287301.0,71,0,2287301_71
94,18,6,48,112,7933295,989.0,991.0999999999999,991.1,0.3725,989.0,14.899999999999977,2287301.0,72,0,2287301_72
