,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,value_of_time,start_time,Activity_Time,hh_id,seg_index,intrasuperzone_flag,veh_seg_index,p_id
0,18,16,1,65,7933295,129.0000000000001,131.60000000000002,0.3725,129.0,17.400000000000006,2287301.0,0,0,2287301_0,0
2,16,18,2,66,7933295,137.10000000000002,141.5000000000001,0.3725,149.0,9.599999999999994,2287301.0,0,0,2287301_0,0
4,18,5,3,67,7933296,163.00000000000026,167.4000000000004,0.3725,163.0,87.6,2287301.0,1,0,2287301_1,1
5,5,18,67,4,0,167.4000000000004,255.00000000000023,0.01,255.0,0.0,2287301.0,2,0,2287301_2,-1
6,18,18,4,68,7933298,255.00000000000023,256.9000000000002,0.3725,255.0,36.10000000000002,2287301.0,3,0,2287301_3,3
8,18,17,5,69,7933299,293.0000000000002,297.00000000000034,0.3725,293.0,13.0,2287301.0,4,0,2287301_4,4
10,17,18,6,70,7933299,300.70000000000056,302.70000000000056,0.3725,310.0,23.0,2287301.0,4,0,2287301_4,4
11,18,18,70,8,0,302.70000000000056,327.5,0.01,335.0,0.0,2287301.0,5,0,2287301_5,-1
12,18,18,8,11,7933299,327.5,330.0,0.3725,339.0,0.0,2287301.0,6,0,2287301_6,4
13,18,18,11,7,7933300,330.0,332.5,0.3725,363.0,0.0,2287301.0,7,0,2287301_7,5
14,18,18,7,10,7933297,332.5,335.0,0.3725,335.0,0.0,2287301.0,8,0,2287301_8,2
15,18,18,10,71,7933302,335.0,337.5,0.2483,354.0,1.5,2287301.0,9,0,2287301_9,7
16,18,19,71,74,7933299,337.5,359.1,0.3725,339.0,3.8999999999999773,2287301.0,10,0,2287301_10,4
17,19,7,74,72,7933299,359.1,367.30000000000007,0.3725,363.0,0.8000000000000114,2287301.0,10,0,2287301_10,4
18,7,10,72,75,7933300,367.30000000000007,374.70000000000016,0.3725,352.0,3.8999999999999773,2287301.0,11,0,2287301_11,5
20,10,7,12,9,7933300,378.0000000000001,378.9000000000002,0.3725,380.0,0.0,2287301.0,11,0,2287301_11,5
21,7,18,9,73,7933299,378.9000000000002,384.8000000000003,0.3725,352.0,0.0,2287301.0,12,0,2287301_12,4
22,18,18,73,76,7933300,384.8000000000003,387.3000000000003,0.3725,354.0,36.0,2287301.0,13,0,2287301_13,5
23,18,18,76,14,0,387.3000000000003,444.00000000000006,0.01,423.0,0.0,2287301.0,14,0,2287301_14,-1
24,18,9,14,78,7933304,444.00000000000006,445.7,0.2483,444.0,5.300000000000011,2287301.0,15,0,2287301_15,9
25,9,18,78,13,0,445.7,447.6999999999998,0.01,451.0,0.0,2287301.0,16,0,2287301_16,-1
26,18,9,13,15,7933299,447.6999999999998,450.99999999999994,0.3725,423.0,0.0,2287301.0,17,0,2287301_17,4
27,9,8,15,79,7933304,450.99999999999994,453.0999999999999,0.2483,451.0,11.899999999999977,2287301.0,18,0,2287301_18,9
28,8,1,79,77,7933299,453.0999999999999,456.0999999999999,0.3725,465.0,15.100000000000023,2287301.0,19,0,2287301_19,4
29,1,1,77,18,0,456.0999999999999,456.39999999999986,0.01,444.0,0.0,2287301.0,20,0,2287301_20,-1
30,1,8,18,16,7933299,456.39999999999986,459.5999999999999,0.3725,495.0,0.0,2287301.0,21,0,2287301_21,4
31,8,18,16,80,7933304,459.5999999999999,462.89999999999986,0.2483,465.0,2.6999999999999886,2287301.0,22,0,2287301_22,9
33,18,16,17,81,7933300,471.0,473.6,0.3725,471.0,21.399999999999977,2287301.0,23,0,2287301_23,5
34,16,18,81,82,7933299,473.6,493.63548067256517,0.3725,495.0,6.5,2287301.0,24,0,2287301_24,4
35,18,18,82,20,0,493.63548067256517,505.5,0.01,508.0,0.0,2287301.0,25,0,2287301_25,-1
36,18,18,20,19,7933304,505.5,508.0,0.2483,513.0,0.0,2287301.0,26,0,2287301_26,9
37,18,20,19,83,7933299,508.0,508.5,0.3725,508.0,4.5,2287301.0,27,0,2287301_27,4
38,20,16,83,84,7933304,508.5,515.6,0.2483,513.0,12.399999999999977,2287301.0,28,0,2287301_28,9
39,16,20,84,21,0,515.6,528.0,0.01,528.0,0.0,2287301.0,29,0,2287301_29,-1
40,20,19,21,85,7933299,528.0,529.9,0.3725,528.0,16.100000000000023,2287301.0,30,0,2287301_30,4
42,19,18,22,86,7933299,535.1,536.6999999999999,0.3725,546.0,0.39999999999997726,2287301.0,30,0,2287301_30,4
43,18,16,86,24,0,536.6999999999999,545.0,0.01,548.0,0.0,2287301.0,31,0,2287301_31,-1
44,16,18,24,23,7933300,545.0,548.0,0.3725,555.0,0.0,2287301.0,32,0,2287301_32,5
45,18,20,23,87,7933298,548.0,548.5,0.3725,548.0,6.5,2287301.0,33,0,2287301_33,3
46,20,16,87,88,7933300,548.5,554.4000000000001,0.3725,555.0,0.0,2287301.0,34,0,2287301_34,5
47,16,5,88,25,0,554.4000000000001,559.0,0.01,559.0,0.0,2287301.0,35,0,2287301_35,-1
48,5,4,25,89,7933296,559.0,559.6,0.3725,559.0,8.399999999999977,2287301.0,36,0,2287301_36,1
49,4,4,89,28,0,559.6,575.0,0.01,568.0,0.0,2287301.0,37,0,2287301_37,-1
50,4,5,28,92,7933296,575.0,577.9,0.3725,575.0,64.10000000000002,2287301.0,38,0,2287301_38,1
51,5,18,92,29,0,577.9,642.0,0.01,642.0,0.0,2287301.0,39,0,2287301_39,-1
52,18,9,29,93,7933299,642.0,643.5999999999999,0.3725,642.0,3.3999999999999773,2287301.0,40,0,2287301_40,4
53,9,18,93,30,0,643.5999999999999,647.0,0.01,647.0,0.0,2287301.0,41,0,2287301_41,-1
54,18,9,30,31,7933295,647.0,648.5999999999999,0.3725,647.0,0.0,2287301.0,42,0,2287301_42,0
55,9,18,31,95,7933299,648.5999999999999,650.5999999999999,0.3725,651.0,30.0,2287301.0,43,0,2287301_43,4
56,18,16,95,33,7933295,650.5999999999999,670.417739165717,0.3725,683.0,0.0,2287301.0,44,0,2287301_44,0
57,16,18,33,32,7933304,670.417739165717,678.0999999999998,0.2483,694.0,0.0,2287301.0,45,0,2287301_45,9
58,18,18,32,35,7933299,678.0999999999998,680.5999999999998,0.3725,683.0,0.0,2287301.0,46,0,2287301_46,4
59,18,18,35,97,7933301,680.5999999999998,682.9999999999999,0.3725,721.0,1.0,2287301.0,47,0,2287301_47,6
60,18,5,97,96,7933299,682.9999999999999,687.4,0.3725,698.0,6.600000000000023,2287301.0,48,0,2287301_48,4
61,5,14,96,94,7933301,687.4,694.3000000000001,0.3725,694.0,0.0,2287301.0,49,0,2287301_49,6
62,14,14,94,99,7933301,694.3000000000001,732.2,0.3725,651.0,0.0,2287301.0,50,0,2287301_50,6
63,14,19,99,36,0,732.2,733.6000000000001,0.01,726.0,0.0,2287301.0,51,0,2287301_51,-1
64,19,18,36,100,7933302,733.6000000000001,735.2,0.2483,726.0,41.39999999999998,2287301.0,52,0,2287301_52,7
66,18,15,37,101,7933304,769.0,771.2,0.2483,769.0,13.799999999999955,2287301.0,53,0,2287301_53,9
67,15,18,101,40,0,771.2,775.7,0.01,785.0,0.0,2287301.0,54,0,2287301_54,-1
68,18,18,40,38,7933298,775.7,785.0,0.3725,813.0,0.0,2287301.0,55,0,2287301_55,3
69,18,16,38,102,7933295,785.0,787.6,0.3725,785.0,7.399999999999977,2287301.0,56,0,2287301_56,0
71,16,18,39,103,7933295,793.1,796.1,0.3725,795.0,15.0,2287301.0,56,0,2287301_56,0
72,18,18,103,104,7933298,796.1,798.5000000000001,0.3725,813.0,53.60000000000002,2287301.0,57,0,2287301_57,3
74,18,15,41,42,7933302,868.9999999999999,871.1999999999999,0.2483,869.0,0.0,2287301.0,58,0,2287301_58,7
75,15,18,42,106,7933304,871.1999999999999,875.6999999999999,0.2483,887.0,27.5,2287301.0,59,0,2287301_59,9
76,18,14,106,105,7933302,875.6999999999999,886.6999999999999,0.2483,919.0,7.0,2287301.0,60,0,2287301_60,7
77,14,14,105,43,0,886.6999999999999,909.7451932743298,0.01,887.0,0.0,2287301.0,61,0,2287301_61,-1
78,14,18,43,107,7933302,909.7451932743298,914.6451932743299,0.2483,919.0,0.10000000000002274,2287301.0,62,0,2287301_62,7
79,18,16,107,44,0,914.6451932743299,917.2451932743298,0.01,924.0,0.0,2287301.0,63,0,2287301_63,-1
80,16,18,44,108,7933300,917.2451932743298,920.2451932743298,0.3725,924.0,9.0,2287301.0,64,0,2287301_64,5
81,18,5,108,45,0,920.2451932743298,928.2910010053032,0.01,936.0,0.0,2287301.0,65,0,2287301_65,-1
82,5,18,45,109,7933296,928.2910010053032,933.1910010053033,0.3725,936.0,10.100000000000023,2287301.0,66,0,2287301_66,1
83,18,18,109,47,0,933.1910010053033,948.5999999999999,0.01,951.0,0.0,2287301.0,67,0,2287301_67,-1
84,18,18,47,46,7933300,948.5999999999999,951.0,0.3725,951.0,0.0,2287301.0,68,0,2287301_68,5
85,18,18,46,111,7933303,951.0,953.4000000000001,0.2483,951.0,35.60000000000002,2287301.0,69,0,2287301_69,8
86,18,18,111,110,7933303,953.4000000000001,955.8000000000002,0.2483,989.0,0.0,2287301.0,70,0,2287301_70,8
87,18,18,110,48,0,955.8000000000002,989.0,0.01,951.0,0.0,2287301.0,71,0,2287301_71,-1
88,18,6,48,112,7933295,989.0,991.0999999999999,0.3725,989.0,14.899999999999977,2287301.0,72,0,2287301_72,0
90,6,9,49,113,7933295,1002.7999999999997,1005.9999999999998,0.3725,1006.0,0.0,2287301.0,72,0,2287301_72,0
91,9,18,113,50,0,1005.9999999999998,1007.9999999999998,0.01,1008.0,0.0,2287301.0,73,0,2287301_73,-1
92,18,18,50,114,7933298,1007.9999999999998,1010.3999999999999,0.3725,1008.0,15.600000000000023,2287301.0,74,0,2287301_74,3
94,18,20,51,115,7933296,1026.0,1026.5,0.3725,1026.0,5.5,2287301.0,75,0,2287301_75,1
95,20,18,115,55,0,1026.5,1030.5,0.01,1032.0,0.0,2287301.0,76,0,2287301_76,-1
96,18,20,55,52,7933297,1030.5,1032.0,0.3725,1059.0,0.0,2287301.0,77,0,2287301_77,2
97,20,20,52,116,7933296,1032.0,1033.0,0.3725,1032.0,15.0,2287301.0,78,0,2287301_78,1
98,20,18,116,53,7933297,1033.0,1041.0999999999985,0.3725,1048.0,0.0,2287301.0,79,0,2287301_79,2
99,18,20,53,54,7933298,1041.0999999999985,1041.5999999999988,0.3725,1048.0,0.0,2287301.0,80,0,2287301_80,3
100,20,18,54,118,7933296,1041.5999999999988,1045.5999999999988,0.3725,1048.0,7.0,2287301.0,81,0,2287301_81,1
101,18,18,118,119,7933297,1045.5999999999988,1047.999999999999,0.3725,1059.0,1.599999999999909,2287301.0,82,0,2287301_82,2
102,18,18,119,117,7933298,1047.999999999999,1050.3999999999999,0.3725,1063.0,0.0,2287301.0,83,0,2287301_83,3
103,18,18,117,56,0,1050.3999999999999,1062.9999999999995,0.01,1048.0,0.0,2287301.0,84,0,2287301_84,-1
104,18,18,56,120,7933296,1062.9999999999995,1065.3999999999996,0.3725,1063.0,4.599999999999909,2287301.0,85,0,2287301_85,1
106,18,18,57,121,7933296,1069.9999999999993,1072.3999999999994,0.3725,1070.0,50.59999999999991,2287301.0,86,0,2287301_86,1
107,18,9,121,58,0,1072.3999999999994,1122.9999999999993,0.01,1123.0,0.0,2287301.0,87,0,2287301_87,-1
108,9,18,58,122,7933295,1122.9999999999993,1124.9999999999993,0.3725,1123.0,13.0,2287301.0,88,0,2287301_88,0
109,18,18,122,60,0,1124.9999999999993,1133.1999999999982,0.01,1138.0,0.0,2287301.0,89,0,2287301_89,-1
110,18,18,60,124,7933300,1133.1999999999982,1135.5999999999983,0.3725,1150.0,10.599999999999909,2287301.0,90,0,2287301_90,5
111,18,18,124,59,0,1135.5999999999983,1137.9999999999993,0.01,1163.0,0.0,2287301.0,91,0,2287301_91,-1
112,18,8,59,123,7933297,1137.9999999999993,1147.0999999999992,0.3725,1138.0,2.900000000000091,2287301.0,92,0,2287301_92,2
113,8,5,123,61,0,1147.0999999999992,1150.8999999999992,0.01,1150.0,0.0,2287301.0,93,0,2287301_93,-1
114,5,8,61,62,7933299,1150.8999999999992,1162.199999999999,0.3725,1163.0,0.0,2287301.0,94,0,2287301_94,4
115,8,18,62,126,7933297,1162.199999999999,1165.4999999999989,0.3725,1168.0,39.700000000000045,2287301.0,95,0,2287301_95,2
116,18,18,126,125,7933299,1165.4999999999989,1167.8999999999992,0.3725,1211.0,0.09999999999990905,2287301.0,96,0,2287301_96,4
117,18,18,125,63,0,1167.8999999999992,1210.999999999999,0.01,1168.0,0.0,2287301.0,97,0,2287301_97,-1
118,18,18,63,127,7933303,1210.999999999999,1213.3999999999992,0.2483,1211.0,130.5999999999999,2287301.0,98,0,2287301_98,8
119,18,14,127,64,0,1213.3999999999992,1224.5999999999992,0.01,1344.0,0.0,2287301.0,99,0,2287301_99,-1
120,14,18,64,128,7933301,1224.5999999999992,1229.6999999999991,0.3725,1344.0,90.90000000000009,2287301.0,100,0,2287301_100,6
