,person_id,num_trips,value_of_time,trip_counter,ActivityTime,tripmode,orig_purpose,dest_purpose,orig_maz,orig_taz,dest_maz,dest_taz,driver_passenger_flag,joint_trip_flag,park&ride_flag,starttimeinterval,starttime,hh_id,origin_node,destination_node,Diff_bet_starttime,travel_time,person_type,earlyarr_penalty,latearr_penalty,early_penalty_threshold,late_penalty_threshold,hh_index,p_id
20940,7933295,9,0.3725,1,17.0,5,Home,Discretionary,71,18,63,16,-1,1,0,2,129.0,2287301,10709,10639,20.0,3.0,Full-time-worker,0.01,0.01,60.0,60.0,0,0
20941,7933295,9,0.3725,2,495.0,5,Discretionary,Home,63,16,71,18,-1,1,0,2,149.0,2287301,10542,10646,498.0,3.0,Full-time-worker,0.0,0.02,120.0,30.0,1,0
20951,7933296,11,0.3725,3,378.0,3,Home,Work,71,18,19,5,-1,0,0,3,163.0,2287301,10711,10056,396.0,18.0,Full-time-worker,0.2,0.5,30.0,15.0,2,1
138323,7933298,6,0.3725,1,282.0,7,Home,Work,71,18,71,18,-1,0,0,6,255.0,2287301,10591,10709,293.0,11.0,Full-time-worker,0.2,0.5,30.0,15.0,3,3
201090,7933299,13,0.3725,1,5.0,7,Home,Escort,71,18,68,17,-1,0,0,7,293.0,2287301,10613,10336,17.0,12.0,Full-time-worker,0.2,1.0,5.0,5.0,4,4
201091,7933299,13,0.3725,2,17.0,7,Escort,Home,68,17,71,18,-1,0,0,8,310.0,2287301,10336,10709,29.0,12.0,Full-time-worker,0.0,0.02,120.0,30.0,5,4
262944,7933297,4,0.3725,1,714.0,7,Home,Work,71,18,71,18,-1,0,0,9,335.0,2287301,10709,10708,724.0,10.0,Part-time-worker,0.2,0.5,30.0,15.0,6,2
201092,7933299,13,0.3725,3,5.0,1,Home,Visiting,71,18,28,7,5,0,0,9,339.0,2287301,10707,9734,13.0,8.0,Full-time-worker,0.01,0.01,60.0,60.0,7,4
201093,7933299,13,0.3725,4,65.0,1,Visiting,Home,28,7,71,18,5,0,0,9,352.0,2287301,9511,10708,71.0,6.0,Full-time-worker,0.0,0.02,120.0,30.0,8,4
282206,7933302,6,0.2483,1,361.0,7,Home,School,71,18,74,19,-1,0,0,9,354.0,2287301,10594,10613,372.0,11.0,Student-of-non-driving-age,0.2,0.5,30.0,10.0,9,7
